title,task_type,task_type_numeric,priority,priority_numeric,story_points,word_count,actual_days
Database Backup Automation,backend,0,High,4,5,3,4.0
Implement database migration script,backend,0,High,4,8,4,5.2
Implement mobile responsive layouts,frontend,1,Medium,3,5,4,8.1
Update project README,general,4,Highest,5,3,3,2.0
Dashboard Redesign UI,frontend,1,High,4,5,3,3.5
Create reusable button components,frontend,1,High,4,5,4,6.8
Sprint planning and task estimation,general,4,Low,2,13,5,6.5
Update monitoring and logging,general,4,High,4,3,4,0.8
Build REST API for user authentication,backend,0,High,4,8,6,6.9
Create JWT token validation service,backend,0,High,4,13,5,12.9
What If Scenario Simulator,backend,0,High,4,5,4,4.0
Implement review and cleanup,general,4,Highest,5,1,4,1.4
Implement reusable button components,frontend,1,Highest,5,8,4,9.0
Refactor legacy code modules,general,4,High,4,13,4,3.4
Create JWT token validation service,backend,0,High,4,8,5,11.6
Build AI suggestions page component,frontend,1,Medium,3,8,5,4.4
Document API endpoints,general,4,Low,2,5,3,1.2
Configure development environment,general,4,Low,2,5,3,4.0
Add monitoring and logging,general,4,Medium,3,3,4,2.0
WebSocket Live Agent Feed,backend,0,High,4,5,4,3.5
Add drag and drop interface,frontend,1,Medium,3,1,5,1.4
Build knowledge transfer session,general,4,Highest,5,3,4,2.4
Fix project README,general,4,Highest,5,1,3,2.3
API integration with third-party service,backend,0,Medium,3,2,5,3.6
Build planning and task estimation,general,4,High,4,13,5,7.3
Design homepage UI redesign,frontend,1,Highest,5,13,4,4.0
QA Test Suite Configuration,testing,2,Medium,3,3,4,2.0
Update risk scoring calculation engine,backend,0,High,4,1,5,4.5
Risk Analytics Page Frontend,frontend,1,Medium,3,5,4,4.0
Implement Redis caching layer,backend,0,Medium,3,13,4,11.9
Fix service for file uploads,backend,0,Medium,3,13,5,6.0
Setup project repository and structure,general,4,Low,2,3,5,2.5
API integration with third-party service,backend,0,Medium,3,1,5,2.7
Configure development environment,general,4,High,4,2,3,3.2
Create reusable button components,frontend,1,Highest,5,3,4,4.1
Implement test for API endpoints,testing,2,Highest,5,8,5,1.4
Code review and cleanup,general,4,High,4,3,4,5.1
Refactor legacy code modules,general,4,Medium,3,1,4,1.4
AI Suggestions Page Frontend,frontend,1,High,4,5,4,3.5
Add test suite for frontend components,testing,2,Highest,5,1,6,0.8
Setup monitoring and logging,general,4,Lowest,1,3,4,4.3
Setup login form with validation,frontend,1,Lowest,1,13,5,6.0
Integration test for API endpoints,testing,2,Lowest,1,3,5,3.1
Document API endpoints,general,4,Medium,3,8,3,5.7
End to end system testing,testing,2,Highest,5,2,5,3.1
Suggestions Approve and Sync Jira,backend,0,Highest,5,8,5,5.0
Dashboard Redesign UI,frontend,1,High,4,5,3,3.5
Suggestions Approve and Sync Jira,backend,0,Highest,5,8,5,5.0
Sprint Burndown Data Service,backend,0,Medium,3,3,4,2.0
Setup monitoring and logging,general,4,Medium,3,2,4,2.9
Frontend integration testing setup,frontend,1,Highest,5,1,4,2.4
Sprint planning and task estimation,general,4,Low,2,2,5,3.8
Build Redis caching layer,backend,0,Medium,3,8,4,5.0
Implement database migration script,backend,0,High,4,5,4,7.8
Setup monitoring and logging,general,4,Lowest,1,1,4,2.8
Add monitoring alerts detection service,backend,0,Lowest,1,3,5,6.5
Unit tests for risk scoring engine,testing,2,Highest,5,3,6,2.1
Add e2e testing suite configuration,testing,2,Medium,3,1,5,1.0
Database Migration Script,backend,0,High,4,8,3,6.5
Mobile Responsive Layouts,frontend,1,Medium,3,3,3,2.5
Setup automation for login flow,testing,2,Low,2,8,5,4.6
Build sidebar navigation component,frontend,1,Highest,5,8,4,2.8
Server-side validation and security fix,backend,0,Low,2,13,5,11.0
Decision History Logging Service,backend,0,High,4,5,4,3.0
Test automation for login flow,testing,2,High,4,1,5,2.0
Add validation and security fix,backend,0,Highest,5,8,5,5.7
Setup project repository and structure,general,4,Low,2,3,5,4.9
Mobile Responsive Layouts,frontend,1,Medium,3,3,3,2.5
AI Suggestions Generation Engine,backend,0,Highest,5,8,4,6.0
Implement database migration script,backend,0,Low,2,8,4,5.3
Backend API for Risk Analysis,backend,0,High,4,8,5,5.5
Create login form with validation,frontend,1,Highest,5,1,5,2.4
Document API endpoints,general,4,Low,2,3,3,2.6
End to end system testing,testing,2,Lowest,1,13,5,6.2
Implement dark mode toggle,frontend,1,Lowest,1,5,4,4.4
Build REST API for user authentication,backend,0,Highest,5,3,6,5.0
Write integration tests for Jira service,testing,2,Lowest,1,13,6,6.0
Update backup automation script,backend,0,Highest,5,1,4,2.7
Implement WebSocket server connection,backend,0,Lowest,1,1,4,2.4
Create data visualization charts,frontend,1,Lowest,1,2,4,4.3
WebSocket Live Agent Feed,backend,0,High,4,5,4,3.5
API endpoint for dashboard metrics,backend,0,Low,2,8,5,9.0
Build Redis caching layer,backend,0,Highest,5,3,4,3.4
WebSocket Live Agent Feed,backend,0,High,4,5,4,3.5
Create e2e testing suite configuration,testing,2,Highest,5,2,5,1.5
End to End System Testing,testing,2,High,4,5,5,3.0
Backend API for Sprint Data,backend,0,Highest,5,8,5,6.0
Build REST API for user authentication,backend,0,Highest,5,3,6,3.4
Update health score calculator backend,backend,0,Medium,3,5,5,7.0
Build health score calculator backend,backend,0,Highest,5,3,5,3.4
Setup Frontend Component Library,frontend,1,High,4,5,4,3.0
End to end system testing,testing,2,Low,2,3,5,2.7
Setup Frontend Component Library,frontend,1,High,4,5,4,3.0
Build integration tests for Jira service,testing,2,Highest,5,8,6,3.8
Team knowledge transfer session,general,4,Highest,5,1,4,0.7
Fix service for file uploads,backend,0,Highest,5,1,5,1.0
Create mobile responsive layouts,frontend,1,High,4,5,4,1.7
Build WebSocket server connection,backend,0,Lowest,1,1,4,6.1
Team knowledge transfer session,general,4,Highest,5,13,4,2.2
Monitoring Alerts Detection Service,backend,0,Highest,5,8,4,5.5
Integration test for API endpoints,testing,2,Lowest,1,8,5,5.6
Create load testing scripts,testing,2,High,4,2,4,1.5
Add test suite for frontend components,testing,2,Medium,3,8,6,1.5
Implement review and cleanup,general,4,Lowest,1,13,4,5.3
Unit tests for risk scoring engine,testing,2,Low,2,3,6,1.3
Create reusable button components,frontend,1,High,4,13,4,10.6
Fix AI suggestions page component,frontend,1,Highest,5,3,5,2.6
Predictive Risk Timeline Builder,backend,0,High,4,5,4,3.5
Build Risk Scoring Engine,backend,0,Highest,5,8,4,5.0
Create database schema for reports,backend,0,Lowest,1,2,5,6.1
Server-side validation and security fix,backend,0,High,4,1,5,2.0
Setup monitoring and logging,general,4,Highest,5,8,4,4.8
Performance Load Testing,testing,2,Medium,3,3,3,1.5
Backend API for Risk Analysis,backend,0,High,4,8,5,5.5
Setup project repository and structure,general,4,High,4,2,5,1.4
Add project repository and structure,general,4,Lowest,1,5,5,2.6
Build monitoring and logging,general,4,Highest,5,3,4,0.9
Refactor legacy code modules,general,4,Medium,3,1,4,1.3
Create database schema for reports,backend,0,Highest,5,13,5,6.5
Setup backup automation script,backend,0,Lowest,1,2,4,1.9
Predictive Risk Timeline Builder,backend,0,High,4,5,4,3.5
Add load testing scripts,testing,2,High,4,3,4,0.9
Fix AI suggestions page component,frontend,1,Medium,3,1,5,2.0
Server-side validation and security fix,backend,0,Lowest,1,2,5,6.3
Document API endpoints,general,4,Low,2,13,3,3.7
Failure Probability Calculator,backend,0,High,4,5,3,4.0
Server-side validation and security fix,backend,0,Low,2,3,5,5.7
Gemini API Integration Setup,backend,0,High,4,5,4,3.0
Develop backend API for sprint analytics,backend,0,Lowest,1,1,6,2.9
Design homepage UI redesign,frontend,1,Medium,3,13,4,4.6
Decision History Logging Service,backend,0,High,4,5,4,3.0
Fix API endpoints,general,4,Highest,5,3,3,2.9
Configure development environment,general,4,Low,2,3,3,2.3
AI Suggestions Page Frontend,frontend,1,High,4,5,4,3.5
Configure development environment,general,4,Highest,5,3,3,3.4
End to end system testing,testing,2,Lowest,1,5,5,1.4
Setup legacy code modules,general,4,Medium,3,2,4,2.6
Homepage UI Redesign,frontend,1,High,4,5,3,4.0
Document API endpoints,general,4,Low,2,13,3,2.3
Create mobile responsive layouts,frontend,1,Medium,3,3,4,1.6
Build planning and task estimation,general,4,High,4,13,5,4.6
Setup e2e testing suite configuration,testing,2,Medium,3,8,5,3.6
Setup health score calculator backend,backend,0,Lowest,1,5,5,10.6
Sprint Health Score Calculator,backend,0,High,4,5,4,3.5
Configure development environment,general,4,High,4,5,3,4.4
Frontend API Integration Testing,testing,2,Medium,3,3,4,2.5
Backend API for Risk Analysis,backend,0,High,4,8,5,5.5
Code review and cleanup,general,4,Lowest,1,2,4,2.5
Update project README,general,4,Lowest,1,3,3,2.6
Create e2e testing suite configuration,testing,2,High,4,8,5,1.8
Update project README,general,4,Medium,3,2,3,3.2
Create JWT token validation service,backend,0,Lowest,1,1,5,3.8
Build REST API for user authentication,backend,0,Low,2,1,6,3.8
Performance load testing scripts,testing,2,Medium,3,2,4,2.2
Security Authentication Fix,backend,0,High,4,5,3,4.0
Setup login form with validation,frontend,1,Highest,5,13,5,7.0
QA test suite for frontend components,testing,2,Lowest,1,2,6,1.5
Create reusable button components,frontend,1,Low,2,2,4,3.9
Sprint Health Score Calculator,backend,0,High,4,5,4,3.5
Implement database migration script,backend,0,Medium,3,2,4,3.3
Build risk scoring calculation engine,backend,0,High,4,5,5,6.7
Failure Probability Calculator,backend,0,High,4,5,3,4.0
Build Risk Scoring Engine,backend,0,Highest,5,8,4,5.0
Build Risk Scoring Engine,backend,0,Highest,5,8,4,5.0
Failure Probability Calculator,backend,0,High,4,5,3,4.0
Backend API for Risk Analysis,backend,0,High,4,8,5,5.5
Unit tests for risk scoring engine,testing,2,Low,2,1,6,0.7
Build risk scoring calculation engine,backend,0,Lowest,1,5,5,9.1
Setup backend API for sprint analytics,backend,0,Highest,5,13,6,8.5
Build legacy code modules,general,4,Highest,5,13,4,7.4
Frontend API Integration Testing,testing,2,Medium,3,3,4,2.5
Configure development environment,general,4,Lowest,1,13,3,5.5
Sprint planning and task estimation,general,4,Low,2,3,5,1.2
Setup project repository and structure,general,4,Low,2,5,5,1.9
Create header with project selector,frontend,1,Highest,5,5,5,2.5
Monitoring Alerts Detection Service,backend,0,Highest,5,8,4,5.5
Create e2e testing suite configuration,testing,2,Low,2,13,5,8.1
Build database migration script,backend,0,High,4,8,4,5.3
QA Test Suite Configuration,testing,2,Medium,3,3,4,2.0
WebSocket Live Agent Feed,backend,0,High,4,5,4,3.5
Refactor legacy code modules,general,4,Medium,3,2,4,4.2
Update planning and task estimation,general,4,Lowest,1,1,5,2.4
Build REST API for user authentication,backend,0,High,4,8,6,4.9
Suggestions Approve and Sync Jira,backend,0,Highest,5,8,5,5.0
QA Test Suite Configuration,testing,2,Medium,3,3,4,2.0
Write test cases for sprint calculator,testing,2,Highest,5,3,6,1.0
Team knowledge transfer session,general,4,Medium,3,1,4,3.1
Setup REST API for user authentication,backend,0,High,4,1,6,3.4
Unit tests for risk scoring engine,testing,2,High,4,2,6,1.2
Build development environment,general,4,Highest,5,13,3,5.2
Predictive Risk Timeline Builder,backend,0,High,4,5,4,3.5
Build legacy code modules,general,4,Medium,3,13,4,7.0
Document API endpoints,general,4,Lowest,1,2,3,3.1
Gemini API Integration Setup,backend,0,High,4,5,4,3.0
Implement development environment,general,4,Highest,5,1,3,1.5
Create e2e testing suite configuration,testing,2,Lowest,1,8,5,3.6
AI Suggestions Generation Engine,backend,0,Highest,5,8,4,6.0
Implement Redis caching layer,backend,0,Medium,3,3,4,5.6
Decision History Logging Service,backend,0,High,4,5,4,3.0
Create e2e testing suite configuration,testing,2,High,4,5,5,2.2
Fix load testing scripts,testing,2,Highest,5,5,4,3.3
Create health score calculator backend,backend,0,Highest,5,5,5,2.5
Dashboard header with project selector,frontend,1,Medium,3,8,5,10.0
Build sidebar navigation component,frontend,1,Lowest,1,5,4,7.5
Build Risk Scoring Engine,backend,0,Highest,5,8,4,5.0
Backend API for Sprint Data,backend,0,Highest,5,8,5,6.0
Sprint planning and task estimation,general,4,Lowest,1,5,5,3.5
Create test cases for sprint calculator,testing,2,Medium,3,5,6,3.2
Implement WebSocket server connection,backend,0,Low,2,8,4,3.0
Performance load testing scripts,testing,2,Highest,5,3,4,2.8
Setup project repository and structure,general,4,Low,2,1,5,3.2
Implement API endpoints,general,4,Low,2,1,3,3.6
Fix tests for risk scoring engine,testing,2,Low,2,8,6,4.5
Build burndown chart component,frontend,1,High,4,5,4,3.8
Decision History Logging Service,backend,0,High,4,5,4,3.0
Add WebSocket server connection,backend,0,Medium,3,13,4,6.6
Server-side validation and security fix,backend,0,Medium,3,2,5,5.0
Performance load testing scripts,testing,2,Medium,3,3,4,1.2
Add development environment,general,4,Lowest,1,3,3,4.8
Add reusable button components,frontend,1,Highest,5,2,4,2.9
Build sidebar navigation component,frontend,1,Medium,3,8,4,5.0
Code review and cleanup,general,4,Low,2,3,4,3.2
Design homepage UI redesign,frontend,1,Low,2,5,4,4.6
Setup Frontend Component Library,frontend,1,High,4,5,4,3.0
Performance load testing scripts,testing,2,Highest,5,3,4,2.3
Build integration with third-party service,backend,0,Lowest,1,2,5,2.3
Build sidebar navigation component,frontend,1,High,4,13,4,4.8
QA Test Suite Configuration,testing,2,Medium,3,3,4,2.0
Create JWT token validation service,backend,0,High,4,1,5,1.1
Create integration tests for Jira service,testing,2,Medium,3,5,6,2.7
Build monitoring alerts detection service,backend,0,Highest,5,2,5,5.4
Code review and cleanup,general,4,Highest,5,2,4,2.6
Team knowledge transfer session,general,4,Highest,5,5,4,4.2
QA test suite for frontend components,testing,2,High,4,3,6,3.9
Security Authentication Fix,backend,0,High,4,5,3,4.0
Gemini API Integration Setup,backend,0,High,4,5,4,3.0
Gemini API Integration Setup,backend,0,High,4,5,4,3.0
Performance Load Testing,testing,2,Medium,3,3,3,1.5
Create data visualization charts,frontend,1,High,4,1,4,2.0
Create backup automation script,backend,0,Medium,3,1,4,3.5
Implement unit tests for auth service,testing,2,Medium,3,3,6,1.1
Setup monitoring and logging,general,4,High,4,2,4,2.6
Team knowledge transfer session,general,4,Lowest,1,13,4,10.2
Create data visualization charts,frontend,1,Medium,3,1,4,3.3
Build risk scoring calculation engine,backend,0,Highest,5,1,5,2.6
Write unit tests for auth service,testing,2,Low,2,8,6,4.1
Fix unit tests for auth service,testing,2,Highest,5,5,6,2.3
Fix legacy code modules,general,4,Lowest,1,3,4,3.9
Build integration tests for Jira service,testing,2,Lowest,1,8,6,2.4
Frontend API Integration Testing,testing,2,Medium,3,3,4,2.5
Predictive Risk Timeline Builder,backend,0,High,4,5,4,3.5
Dashboard header with project selector,frontend,1,Lowest,1,8,5,7.5
Write unit tests for auth service,testing,2,Medium,3,5,6,1.6
Mobile Responsive Layouts,frontend,1,Medium,3,3,3,2.5
Performance Load Testing,testing,2,Medium,3,3,3,1.5
Fix project repository and structure,general,4,High,4,13,5,6.1
Refactor legacy code modules,general,4,Lowest,1,3,4,2.4
Database Backup Automation,backend,0,High,4,5,3,4.0
Failure Probability Calculator,backend,0,High,4,5,3,4.0
Create login form with validation,frontend,1,Low,2,1,5,2.3
Performance Load Testing,testing,2,Medium,3,3,3,1.5
Build AI suggestions page component,frontend,1,Low,2,2,5,2.2
WebSocket Live Agent Feed,backend,0,High,4,5,4,3.5
Code review and cleanup,general,4,Highest,5,5,4,3.4
AI Suggestions Generation Engine,backend,0,Highest,5,8,4,6.0
Failure Probability Calculator,backend,0,High,4,5,3,4.0
Setup project repository and structure,general,4,Medium,3,13,5,5.9
Build sidebar navigation component,frontend,1,Highest,5,3,4,1.7
Code review and cleanup,general,4,Lowest,1,8,4,3.3
Server-side validation and security fix,backend,0,Lowest,1,13,5,5.5
Configure development environment,general,4,Low,2,8,3,7.1
Build risk scoring calculation engine,backend,0,Highest,5,3,5,2.7
Setup integration with third-party service,backend,0,Medium,3,5,5,6.7
Implement mobile responsive layouts,frontend,1,High,4,5,4,3.2
Add test for API endpoints,testing,2,Low,2,1,5,1.3
Implement project repository and structure,general,4,Low,2,3,5,4.5
Integration test for API endpoints,testing,2,Lowest,1,13,5,6.4
Configure development environment,general,4,High,4,13,3,6.0
Design homepage UI redesign,frontend,1,Medium,3,13,4,8.6
Setup monitoring and logging,general,4,Lowest,1,8,4,3.3
Add project README,general,4,Highest,5,3,3,1.7
Team knowledge transfer session,general,4,Highest,5,2,4,3.2
Frontend API Integration Testing,testing,2,Medium,3,3,4,2.5
Add homepage UI redesign,frontend,1,Low,2,8,4,6.5
Integration test for API endpoints,testing,2,Lowest,1,5,5,3.9
Sprint planning and task estimation,general,4,Medium,3,1,5,3.8
Build endpoint for dashboard metrics,backend,0,Highest,5,1,5,5.3
Setup project README,general,4,Medium,3,1,3,1.0
Update backend API for sprint analytics,backend,0,Highest,5,13,6,12.3
Server-side validation and security fix,backend,0,High,4,13,5,8.6
Create header with project selector,frontend,1,Lowest,1,1,5,3.5
Build load testing scripts,testing,2,Low,2,8,4,3.5
Develop backend API for sprint analytics,backend,0,Lowest,1,5,6,11.4
Setup backend API for sprint analytics,backend,0,Highest,5,1,6,2.6
Build e2e testing suite configuration,testing,2,Medium,3,8,5,5.1
WebSocket Live Agent Feed,backend,0,High,4,5,4,3.5
Build review and cleanup,general,4,Low,2,8,4,7.1
Frontend API Integration Testing,testing,2,Medium,3,3,4,2.5
Build data visualization charts,frontend,1,Lowest,1,13,4,9.9
Fix test for API endpoints,testing,2,Low,2,13,5,5.5
Risk Analytics Page Frontend,frontend,1,Medium,3,5,4,4.0
Fix test for API endpoints,testing,2,Low,2,8,5,6.5
Build monitoring and logging,general,4,Medium,3,3,4,1.9
Frontend integration testing setup,frontend,1,Lowest,1,13,4,10.2
Setup risk scoring calculation engine,backend,0,Lowest,1,8,5,8.5
Backend service for file uploads,backend,0,Lowest,1,3,5,8.1
Code review and cleanup,general,4,Low,2,3,4,1.7
Setup project repository and structure,general,4,Medium,3,2,5,0.9
